slug,name,meetup-url
basm-brisbane,Brisbane Autism Spectrum Meetup,https://www.meetup.com/brisbane-autism-spectrum-meetup/
daobrussels,DAO Brussels,https://meetup.com/daobrussels
code-for-dayton,Code For Dayton,https://www.meetup.com/gem-city-tech/
playnet,playnet,https://lu.ma/playnet
rey-miguel-flotilde,Rey Miguel A. Flotilde,https://https/
openmaine,OpenMaine,https://www.meetup.com/openmaine/
sydjango,SyDjango,https://www.meetup.com/SyDjango/
k8sug,K8SUG,https://www.meetup.com/k8s-sg/
good-world-association,Good World Association,https://www.meetup.com/goodworldmovement/
doaction-owerri,do_action Owerri,https://www.meetup.com/Owerri-WordPress-Meetup/
data-umbrella,Data Umbrella,https://www.meetup.com/nyc-data-umbrella/
code-with-aloha,Code With Aloha,https://www.meetup.com/code-with-aloha/
nycpp,NYC++ Meetup,https://meetup.com/new-york-c-c-meetup-group
devstaff,DevStaff,https://www.meetup.com/devstaff/
madridjug,MadridJUG,https://www.meetup.com/madridjug/
