slug,name,slack-url
frontyard-projects,Frontyard Projects,https://join.slack.com/t/frontyardprojects/shared_invite/zt-1jypzf6b4-NaqcmKOLxy3QJgCT6r4T_w
kstatemachine,KStateMachine,https://kotlinlang.slack.com/archives/C07DVAEKLM8
forrt,FORRT,https://join.slack.com/t/forrt/shared_invite/enQtODMwODI0OTk4ODgzLTM0ZTQ3NDk5MzA1ZjBmNWJjYTVlN2Y2YTk0ZTJhYTY5NDliMDYzMjg2MWE0ZDRhOTY0ZDY3OTRlNDA4ODQ3NjQ
fuiz,Fuiz,https://join.slack.com/t/fuiz/shared_invite/zt-2enihgtpy-C1KxJ96pEQN707msi~vNRg
microcks,Microcks,https://cloud-native.slack.com/messages/microcks
opensandiego,Open San Diego,https://join.slack.com/t/opensandiego/shared_invite/zt-1ty4g2h5j-mtlSki2U8~TMsd6W5YJrJg
sydjango,SyDjango,https://join.slack.com/t/sydjango/shared_invite/zt-26q97ezcx-PwDHi1WqU3s_i03j2XiqeQ
actions,Actions,https://erfours.slack.com/
twitter-bio,Ajay Dhangar,https://app.slack.com/client/T04GGRZPVJN/C04GK9ZEEHJ
companion,Bitfocus Companion,https://bitfocus.io/api/slackinvite
vyos,VyOS Project Collective,https://slack.vyos.io/
solidus,Solidus,https://slack.solidus.io/
layerzero,Layer Zero,https://cyberia.club/matrix
vox-pupuli,Vox Pupuli,https://slack.puppet.com/
chfgma,Clinton Hill Fort Greene Mutual Aid,https://chfgmutualaid.slack.com/join/shared_invite/zt-dol9r5tu-Af~7Y5IIpCW17oOL~wBa1A#/shared-invite/email
komapper,Komapper,https://kotlinlang.slack.com/messages/komapper/
m4a-everywhere,Medicare for All EVERYWHERE,https://actionnetwork.org/forms/code-of-conduct-2?source=direct_link&
