slug,name,twitch-url
reia,Reia,https://twitch.tv/playreia
4wc,4 Digit World Cup,https://www.twitch.tv/4wcb
aq-org1,AQ ORG,https://www.twitch.tv/axa6t
deept0,for gaming setup,https://www.twitch.tv/deept0
dynatrisoft,DynatriSoft Games,https://www.twitch.tv/dynatrisoft
poolboy00,poolboy00,https://www.twitch.tv/poolboy00
sevenzeromeow,sevenzeromeow,https://www.twitch.tv/startsevenmeow
ztfg_offiziell,ZTFG,https://www.twitch.tv/ztfg
rebel-harm-reduction,Rebel Harm Reduction,https://twitch.tv/rebeducationist
quakeworld,QuakeWorld,https://www.twitch.tv/quakeworld
