slug,name,youtube-url
vatsimspain,VATSIM Spain,https://www.youtube.com/@vatsimspain
students-for-future-freiburg,Students for Future Freiburg,https://www.youtube.com/channel/UCL_ZZnaQNmoR1JqxjJS_G_g
ukraine-war-archive,Ukraine War Archive,https://www.youtube.com/@ukrainewararchiveorg
noeappio,NOÉ - Planification d'événements,https://youtube.com/playlist?list=PLxTDjZn9usXIewHmWius7tiWdcm6zdcAY
deburgers,deBurgers van Grobbendonk en Bouwel,https://www.youtube.com/@deburgers
slow-circular-earth-uk,Slow Circular Earth UK,https://www.youtube.com/channel/UCYk8f-V_rIcpnToXj9Mu3gg
daobrussels,DAO Brussels,https://youtube.dao.brussels/
solidarity-economy-association,Solidarity Economy Association,https://www.youtube.com/channel/UCLujM-l3j6Kco3eBwbbBGyQ
when-we-talk-we-heal,When We Talk We Heal,https://youtube.com/@whenwetalkweheal
kula-yoga-abq,Kula Yoga ABQ,https://www.youtube.com/@KulaYogaABQ
primal-lust-cooperative,Primal Lust Co-Op,https://www.youtube.com/@primallustindustriesllc2327
streetzofls,The Streetz of Los Santos,https://youtube.com/@streetzofls
unashay-sanctuary,Únashay Sanctuary,https://www.youtube.com/@unashayhome5904
wildernessofwaves,Wilderness of Waves,https://www.youtube.com/channel/UCeU5j8L8EsddqUWxGTsY4jQ
elambientalista,El Ambientalista Post,https://youtube.com/c/Noticiasambientales
akuruxyz,akuru.xyz,https://www.youtube.com/akurucollective
reia,Reia,https://youtube.com/@playreia
efuf,European Forum on Urban Forestry (EFUF),https://www.youtube.com/@europeanforumonurbanforestry
4wc,4 Digit World Cup,https://www.youtube.com/@4wc_osu
circuitverse,CircuitVerse,https://www.youtube.com/@circuitverse4457
automatio,Automatio,https://www.youtube.com/@automatio_co
microcks,Microcks,https://www.youtube.com/c/Microcks
quy-nguon-mo-phan-mem-work-goo,Quỹ nguồn mở Phần Mềm YouTube Facebook,https://studioyoutubevideosmoney.godaddysites.com/
papillon,Papillon,https://www.youtube.com/@thepapillonapp
azeitaoecoconsciente,Azeitão Eco-consciente,https://www.youtube.com/@azeitaoeco-consciente5202
rabharta,Rabharta,https://youtube.com/rabhartaparty
aqurusmc,AQur Us Craft,https://youtube.com/@AQ-TH
pona,ma pona pi toki pona,https://www.youtube.com/@maponapitokipona
art-of-the-bay-collective,Art of the Bay Collective,https://www.youtube.com/@GrowCanvasGrow/videos
we-are-peers,We are peers,https://www.youtube.com/channel/UCXBvXJvSa24VqF0TN5OlkdA
cmc,Mr. V,https://chaote.tube/
azai,Azai,https://www.youtube.com/@azai.online/videos
aq-org1,AQ ORG,https://www.youtube.com/@aq-org
blockchain,Blockchain,https://www.youtube.com/@0xxxnet
leinemaschbleibt,Leinemasch BLEIBT,https://www.youtube.com/@LeinemaschBleibt
gaminator-system,Gaminator System,https://www.youtube.com/@GaminatorSystem
angolaosc,Angola Open Source Community,https://linktr.ee/angolaosc
axe-api,Axe Api,https://www.youtube.com/watch?v=3p4jggsNrJA
212th,212th,https://youtube.com/@212thTomTaha
the-good-life-company,the good life company,https://www.youtube.com/@joelwilliams1307
crisisresolutions,Crisis Resolutions,https://www.youtube.com/@crisisresolutions
antropus-studio,Antropus studio,https://www.youtube.com/@Antropus
portal-2-community-edition,Portal 2: Community Edition,https://www.youtube.com/@p2ce
f-person,f-person,https://www.youtube.com/@f-person
legacycoderocks,Legacy Code Rocks,https://www.youtube.com/@mendercon
overture,OvertureMIDI,https://www.youtube.com/@OvertureMIDI
ilihub,ilihub,https://youtube.com/@ilihub
shiner-law-group-stuart-person,Shiner Law Group - Stuart Personal Injury,https://www.youtube.com/user/shinerlawgroup
eric-patoncom,Eric Paton,https://www.youtube.com/watch?v=Bczw3oIR_t0
step-to-egypt-2,Step to Egypt,https://www.youtube.com/channel/steptoegypt
lighthousedr,Lighthouse Projects,https://www.youtube.com/@lighthouse_projectsDR
cadizxr,CádizXR,https://www.youtube.com/@XRCadiz
fantastic5s,Fantastic 5's,https://www.youtube.com/@fantastic5scom
altoparlantorg,ALTOPARLANT,https://www.youtube.com/@altoparlant-ngo
save-the-west-seneca-town-pool,Save the West Seneca Town Pool,https://www.youtube.com/channel/UCBhzcMoq6gqcYnYpVz_SH1w
code4delphi,Code4Delphi,https://www.youtube.com/@code4delphi
antonio-j-benerocom,Antonio J Benero,https://www.youtube.com/
goldwingautocare,Ottawa Wheel Hardware,https://www.youtube.com/user/goldwingautocare
venba-works,Venba Works,https://www.youtube.com/@VenbaWorks
fusion-creators-studio,Fusion Creators Studio,https://www.youtube.com/@fusioncreatorsstudio
collective-action-network,Collective Action Network,https://www.youtube.com/@CollectiveActionGlobal
smitara,Smitara Foundation,https://www.youtube.com/@SmitaraFoundation
ocpc,OCPC,https://www.youtube.com/@osijek_camp
soapjs,SoapJS,https://www.youtube.com/@SoapJS
nutsloop-media,nutslopp-media,https://www.youtube.com/@nutsloop
matetools,Mate tools,https://www.youtube.com/@Mate-tools
flutter_callkit_incoming,Flutter Callkit Incoming,https://www.youtube.com/channel/UCjz4AG7IiSI4zCO9O2KOKaQ
dynatrisoft,DynatriSoft Games,https://www.youtube.com/@dynatrisoft
the-gumprecht-law-firm,The Gumprecht Law Firm,https://www.youtube.com/watch?v=O3Hj6LgsvF4
twitter-bio,Ajay Dhangar,https://www.youtube.com/channel/UCRQBq8dfTEZfIMxmq-Ba9Tw
sease-information-retrieval,Sease Information Retrieval,https://www.youtube.com/channel/UCDx86ZKLYNpI3gzMercM7BQ
sketchup-academie,SketchUp Académie,https://www.youtube.com/channel/UCydvE7MLRJCqCYay4JoBW0Q/videos
sevenzeromeow,sevenzeromeow,https://www.youtube.com/@sevenzeromeow
reactive-graph,Reactive Graph,https://www.youtube.com/@reactive-graph
wishaway,wishawaynightmare,https://www.youtube.com/@wishawaynightmare5592
vivre-au-canadatv,Vivre Au Canada.tv,https://www.youtube.com/vivreaucanada
azatskyposting,azatsky,https://www.youtube.com/channel/UCwkHV-SH4N7ZbT_hUEFNvwQ
advanced-surface,Advanced Surface Technologies,https://www.youtube.com/channel/UCQ2aKNSXP2L4os0lOwMATKA
maciekpalmowski,Maciek Palmowski,https://www.youtube.com/@thecodeandcoffeeshow
esmailelbob,Esmail EL BoB,https://www.youtube.com/channel/UC5-6sB2VEojPNvttTnvCOVw
goodfastcheappdx,"Good, Fast, Cheap",https://www.youtube.com/channel/UCm232X1nnrctrLgagFF1x0A
milojah,0xA,https://www.youtube.com/
playframework,Play Framework,https://www.youtube.com/@play-framework
scientist-rebellion,Scientist Rebellion,https://www.youtube.com/c/ScientistRebellion
lairdubois-opencutlist-sketchup-extension,OpenCutList,https://www.youtube.com/@lairduboisfr
bhumisparsha,Bhumisparsha,https://www.youtube.com/channel/UCVGo6r32936R9L6WXQZwj_A
openipc,OpenIPC,https://www.youtube.com/@openipc
revanced,ReVanced,https://revanced.app/youtube
pnpm,pnpm,https://www.youtube.com/@pnpmjs
meshtastic,Meshtastic,https://www.youtube.com/meshtastic
germantown-community-fridge,Germantown Community Fridges,https://www.youtube.com/@germantowncommunityfridge159
ancientbeast,Ancient Beast 🐺,https://youtube.com/AncientBeastGame
osarch,OSArch - Open Source in AEC,https://www.youtube.com/@OSArchOrg
rebel-harm-reduction,Rebel Harm Reduction,https://www.youtube.com/@therebeleducationist/
privacyguides,Privacy Guides,https://www.youtube.com/@privacyguides
gltc,Great Lakes Taiko Center (GLTC),https://youtube.com/@GreatLakesTaiko
cncnet,CnCNet,https://youtube.com/cncnetofficial
json-schema,JSON Schema,https://www.youtube.com/@JSONSchemaOrgOfficial
srs-server,SRS,https://www.youtube.com/@srs_server
culture-ric,Culture-RIC,https://www.youtube.com/cultureric
amplifying-fsharp,Amplifying FSharp,https://youtube.com/@amplifyingfsharp?si=Qt3g2hK-2fp4R7wd
dat,dat ecosystem,https://www.youtube.com/@DatEcosystem
joomla-component-builder,Joomla! Component Builder,https://www.youtube.com/@OctoYou
united-diversity-bridport,United Diversity Bridport,https://youtube.com/@UnitedDiversity
naarpr,National Alliance Against Racist & Political Repression,https://youtube.com/NAARPR
fff_muc,Fridays for Future München,https://youtube.com/@FridaysForFutureMuenchen
data-umbrella,Data Umbrella,https://www.youtube.com/c/dataumbrella
wppconnect,WPPConnect,https://www.youtube.com/c/wppconnect
theblackhouse,The Blackhouse,https://www.youtube.com/channel/UCQ84VSMdXXvpLXl4vJApvgA
tracardi-cdp,Tracardi Open Source Customer Data Platform,https://www.youtube.com/@tracardi
technovationmx,Technovation Girls México,https://www.youtube.com/channel/UCwfPUSBZCUce-bQZ1FcDbgg
pasquines,Pasquines,https://www.youtube.com/channel/UC1ZA7DBOhxH9ktXg6E5uyLg
juneteenth-conference,Juneteenth Conference,https://youtube.com/juneteenthconf
asociacion-para-la-investigacion-capacitacion-y-asistencia-wixarica,"Asociación para la investigación, capacitación y asistencia Wixarica",https://www.youtube.com/@casadesaludhuichol
animal_rebellion_germany,Animal Rebellion Deutschland,https://www.youtube.com/channel/UCwymuqaNn02Zmg8vda9AYZQ
precious-plastic,Precious Plastic,https://www.youtube.com/@Precious_Plastic
voxelibre,VoxeLibre,https://www.youtube.com/channel/UClI_YcsXMF3KNeJtoBfnk9A
hala,halaو,https://www.youtube.com/channel/UC8jn74jTryXCKCrmYDUgTxw
liblast,Liblast,https://www.youtube.com/@liblast
claudia-jones-school,The Claudia Jones School for Political Education,https://www.youtube.com/channel/UClz1ThQo9zvCYFvHuwn83WQ
suitecrm,SuiteCRM,https://www.youtube.com/@SalesAgility
policyengine,PolicyEngine,https://www.youtube.com/@policyengine
leaf,Leaf PHP 🍁,https://www.youtube.com/@leafphp
opennbs,OpenNBS,https://youtube.com/@OpenNBS
fullstackhero,fullstackhero,https://www.youtube.com/@codewithmukesh
che,Centre for Human Ecology,https://www.youtube.com/@centreforhumanecologyche4764
manybabiesoce,ManyBabies Financial Collective,https://www.youtube.com/@manybabies
nycpp,NYC++ Meetup,https://www.youtube.com/@nycppmeetup
caddy-security,AuthCrunch aka Caddy Security,https://www.youtube.com/@AuthCrunch
multitheftauto,Multi Theft Auto,https://www.youtube.com/@MTAQA
madridjug,MadridJUG,https://www.youtube.com/MadridJUG
notioneers,Notioneers.io - all about notes & stuff,https://www.youtube.com/@notioneers
100devs,100Devs,https://www.youtube.com/@learnwithleon
m4a-everywhere,Medicare for All EVERYWHERE,https://www.youtube.com/@medicareforalleverywhere
anna-may-wong-fans,Anna May Wong Fans,https://www.youtube.com/@thegalleryofannamaywong
leavingrecords,Leaving Records,https://www.youtube.com/leavingrecords
roden,roden,https://www.youtube.com/@rodenbikes
